id,parent_id,title,content_type,content,image_url,has_subtopics
main,null,Привіт у Правильник,text,Вітаємо вас в навчальному боті про Правильник ПЛАСТ. Тут ви знайдете інформацію про основні принципи та правила організації.,null,false
history,main,📚 Історія,menu,null,null,true
history_founding,history,Заснування,text,ПЛАСТ було засновано у 1911 році як організація для розвитку молоді через скаутизм. Перші члени присягали розвивати силу тіла і розуму.,null,false
history_development,history,Розвиток,text,З часом ПЛАСТ розширювався і охопив багато міст України. Організація розвивала нові методи виховання та програми для молоді.,null,false
principles,main,⚖️ Принципи,menu,null,null,true
principles_oath,principles,Присяга,text,Я присягаюся своїй честі бути вірним принципам скаутизму. Помагати ближнему. Виконувати Закон ПЛАСТУ. Розвивати в собі силу тіла і розум.,null,false
principles_law,principles,Закон ПЛАСТУ,text,1. Честь пласта є честь мою. 2. На слово свого я впівстав. 3. Обов'язок скаута - вірність. 4. Скаут мужній і прямий. 5. Скаут готів служити.,null,false
ranks,main,🎖️ Ранги,menu,null,null,true
ranks_younger,ranks,Молодший скаут,text,Молодший скаут (вік 6-10 років) вчиться основам скаутизму. Він виконує прості завдання та звикає до товариства.,null,false
ranks_scout,ranks,Скаут,text,Скаут (вік 10-15 років) має більше відповідальності. Вчиться навичкам виживання та лідерства.,null,false
ranks_senior,ranks,Старший скаут,text,Старший скаут (вік 15-19 років) готується до дорослого життя. Виконує складні завдання та напрацьовує лідерські навички.,null,false
programs,main,🎯 Програми,menu,null,null,true
programs_camps,programs,Табори,text,ПЛАСТ організовує табори протягом літа та в інші сезони. Це сприяє розвитку дружби та навичок у природі.,null,false
programs_training,programs,Навчання,text,Регулярні навчання розвивають практичні навички: розведення вогню та перев'язування вузлів.,null,false
